iter	Logloss
0	0.6866943755
1	0.6805821248
2	0.6753444217
3	0.6710798571
4	0.6670702533
5	0.6634419511
6	0.6600037766
7	0.6569210981
8	0.6542745227
9	0.6517691316
10	0.649556779
11	0.6475970672
12	0.6458213188
13	0.6441808431
14	0.6423114073
15	0.640838163
16	0.6396086878
17	0.6384619639
18	0.6372723056
19	0.6363309385
20	0.6353899283
21	0.634432196
22	0.6334182136
23	0.6323732281
24	0.6312420459
25	0.6305378714
26	0.6297633806
27	0.6288975001
28	0.6282607876
29	0.6272548249
30	0.6264478443
31	0.6257136171
32	0.6251679265
33	0.6246452354
34	0.6239017964
35	0.6233735851
36	0.6229715176
37	0.6224780255
38	0.6218947808
39	0.6208280314
40	0.6199465135
41	0.6195983487
42	0.6189320173
43	0.6185125353
44	0.6181454964
45	0.6175290822
46	0.6172091216
47	0.616936322
48	0.6166054005
49	0.6162215344
50	0.6156473612
51	0.6151755351
52	0.6148646492
53	0.6145020194
54	0.6140273217
55	0.6135422564
56	0.6130972642
57	0.6128184448
58	0.6124174943
59	0.6118508185
60	0.6115927609
61	0.6110168055
62	0.6104691901
63	0.6102008131
64	0.6099177142
65	0.6094968824
66	0.6089065402
67	0.6085834618
68	0.6081375173
69	0.6077674748
70	0.6074163151
71	0.6072153505
72	0.6070402397
73	0.6067480951
74	0.6066218947
75	0.6064658432
76	0.6062562938
77	0.6060361414
78	0.6058235848
79	0.6055624988
80	0.6052949748
81	0.6051119659
82	0.6048884752
83	0.6046699163
84	0.604485578
85	0.60428044
86	0.6039535841
87	0.6037919324
88	0.6035896969
89	0.6033643682
90	0.6032201429
91	0.6029008484
92	0.6027155632
93	0.6024718349
94	0.6022550535
95	0.6020230674
96	0.6018146324
97	0.6016303236
98	0.6014522464
99	0.6011748851
100	0.6010415428
101	0.6008797614
102	0.6006227559
103	0.6003993703
104	0.6002296699
105	0.6001364487
106	0.5999833481
107	0.599736713
108	0.5995844074
109	0.5994240053
110	0.5993302449
111	0.5991601061
112	0.5990437417
113	0.5988047883
114	0.5986695996
115	0.5984996414
116	0.5982739577
117	0.5981262599
118	0.5979201638
119	0.5977744219
120	0.5975963155
121	0.59743738
122	0.5972392494
123	0.5971417715
124	0.5970295434
125	0.5968745112
126	0.5967310648
127	0.5967177949
128	0.5965935423
129	0.5965110696
130	0.596422897
131	0.5962558406
132	0.5961461741
133	0.596059058
134	0.5959336939
135	0.5958104001
136	0.5956103806
137	0.5955301573
138	0.5954054164
139	0.595231531
140	0.5951039695
141	0.5949906505
142	0.5948067211
143	0.5946837194
144	0.5944732244
145	0.5943775205
146	0.5942479845
147	0.5941237832
148	0.5940175133
149	0.5939090683
150	0.5938532622
151	0.59374328
152	0.5935750779
153	0.5934657205
154	0.5934072115
155	0.5933045506
156	0.593278723
157	0.5932362213
158	0.5931264795
159	0.5930598745
160	0.5929755329
161	0.5928749498
162	0.592756223
163	0.5926827686
164	0.5925884734
165	0.592531436
166	0.5924295328
167	0.5923337117
168	0.5922470393
169	0.5921340208
170	0.5920283397
171	0.5919188623
172	0.5918100405
173	0.5917116409
174	0.5915854306
175	0.5914374309
176	0.5913438587
177	0.5912621661
178	0.5911715676
179	0.591059615
180	0.5909619524
181	0.5908336166
182	0.5907367849
183	0.5906367218
184	0.590513125
185	0.5904325783
186	0.5903482778
187	0.5902739506
188	0.5901739236
189	0.5900947162
190	0.5900019509
191	0.58992267
192	0.5898421108
193	0.5897480614
194	0.5896812851
195	0.5895314616
196	0.5894396833
197	0.5893422775
198	0.5892276269
199	0.5891365189
200	0.5890464136
201	0.5889737594
202	0.5888574092
203	0.5887545991
204	0.5885960168
205	0.5885153889
206	0.5884292454
207	0.5883332593
208	0.5882661673
209	0.588176135
210	0.5881081915
211	0.5880485693
212	0.5879139173
213	0.5878508567
214	0.5877875828
215	0.5877021245
216	0.5875896067
217	0.5874758686
218	0.587401666
219	0.587306081
220	0.5872415242
221	0.5871661638
222	0.5870884293
223	0.5870107755
224	0.5869116866
225	0.5867869713
226	0.5866990852
227	0.5866387605
228	0.5865742819
229	0.5864893184
230	0.5863867586
231	0.5863135233
232	0.5862367075
233	0.5861218056
234	0.5860489552
235	0.5859512021
236	0.5858893963
237	0.585824828
238	0.5857351991
239	0.58563532
240	0.5855878758
241	0.5854704929
242	0.5854250178
243	0.5853521644
244	0.585286971
245	0.5852115156
246	0.5851567597
247	0.5850975425
248	0.5849733107
249	0.5849116763
250	0.5848518817
251	0.5848264839
252	0.5847254982
253	0.5846950433
254	0.5846016475
255	0.5844901404
256	0.5843768438
257	0.5843018892
258	0.5842280791
259	0.5841500518
260	0.58404408
261	0.5839329035
262	0.5838796778
263	0.5838003671
264	0.5837341269
265	0.5836231651
266	0.5835671625
267	0.5834982642
268	0.5834374474
269	0.5833858219
270	0.5833287976
271	0.5832805529
272	0.5832108989
273	0.5831209754
274	0.5830536478
275	0.582998524
276	0.582949583
277	0.582900704
278	0.5828292994
279	0.5827946726
280	0.5827153443
281	0.5826147844
282	0.5825444624
283	0.5824783328
284	0.5824195249
285	0.5823557347
286	0.5822872796
287	0.5822372829
288	0.5821832906
289	0.5821288609
290	0.5820662428
291	0.5819801667
292	0.5819365025
293	0.5818658364
294	0.5818156834
295	0.5817701254
296	0.5816921719
297	0.5816273845
298	0.5815566947
299	0.581503652
300	0.581422394
301	0.5813617361
302	0.5813249043
303	0.581268589
304	0.5812114877
305	0.5811739528
306	0.5811073011
307	0.5810607361
308	0.5809939552
309	0.5809435838
310	0.5808679224
311	0.5808229281
312	0.5807349706
313	0.5806722587
314	0.5806156126
315	0.5805723426
316	0.5805214896
317	0.5804636793
318	0.5804181082
319	0.5803859825
320	0.58031569
321	0.5802418266
322	0.580165436
323	0.5800959328
324	0.5800409951
325	0.579990389
326	0.5799431848
327	0.5799019804
328	0.579877746
329	0.579800334
330	0.5797517185
331	0.5797028107
332	0.5796648163
333	0.5796081767
334	0.5795384186
335	0.5794895458
336	0.579437621
337	0.5793951567
338	0.5793406366
339	0.5792831835
340	0.5792212981
341	0.5791507265
342	0.5790921594
343	0.5790380959
344	0.5789570946
345	0.5789101235
346	0.5788592744
347	0.5788418971
348	0.5787985436
349	0.578734624
350	0.5786958238
351	0.5786448544
352	0.5785882118
353	0.5785380563
354	0.5784821512
355	0.578439611
356	0.5783538968
357	0.5783154632
358	0.5782454548
359	0.578202579
360	0.5781232167
361	0.5780664173
362	0.5780356314
363	0.5779897218
364	0.5779629743
365	0.5779168519
366	0.5778612021
367	0.5778120898
368	0.5777529106
369	0.5776846537
370	0.577613209
371	0.5775678541
372	0.5775106662
373	0.5774621408
374	0.5774168446
375	0.5773836866
376	0.5772878814
377	0.5772406734
378	0.5772042518
379	0.5771666889
380	0.5771430712
381	0.5770948745
382	0.5770616657
383	0.5770039248
384	0.5769519487
385	0.5769084559
386	0.5768847785
387	0.57684527
388	0.5767804805
389	0.5767259049
390	0.5766821454
391	0.5766367942
392	0.5766257702
393	0.5765664542
394	0.5765350122
395	0.5764872276
396	0.5764339398
397	0.5763980182
398	0.5763787816
399	0.5763162154
400	0.5762740847
401	0.5761932888
402	0.5761358654
403	0.5761030722
404	0.5760593457
405	0.5760126501
406	0.5759992164
407	0.5759658331
408	0.5759249956
409	0.5758683663
410	0.5758122198
411	0.5757568012
412	0.575706539
413	0.5756789514
414	0.5756464421
415	0.5755914511
416	0.5755559736
417	0.5755245524
418	0.5754967804
419	0.5754494768
420	0.575395599
421	0.5753349476
422	0.575274473
423	0.5752394461
424	0.5751954151
425	0.5751546386
426	0.5751088883
427	0.5750622488
428	0.5750134208
429	0.5749712784
430	0.5749312946
431	0.5748802343
432	0.5748575295
433	0.5748063297
434	0.5747612433
435	0.5747096554
436	0.5746773587
437	0.5746499795
438	0.5746117596
439	0.5745550499
440	0.5745062009
441	0.5744445426
442	0.5743872714
443	0.5743396175
444	0.5742691916
445	0.5742325889
446	0.574183768
447	0.5741544306
448	0.5741154315
449	0.5740780357
450	0.5740075104
451	0.5739650586
452	0.5739178694
453	0.5738882349
454	0.5738373312
455	0.5737701892
456	0.5737172797
457	0.573674616
458	0.5736140964
459	0.5735878815
460	0.5735396791
461	0.5735006703
462	0.5734562588
463	0.573398595
464	0.5733619136
465	0.5733111147
466	0.5732729264
467	0.5732291885
468	0.5731771529
469	0.5731364332
470	0.5731092811
471	0.5730529938
472	0.573003631
473	0.5729448962
474	0.572909341
475	0.5728601303
476	0.5728149205
477	0.5727645873
478	0.5727062758
479	0.5726405605
480	0.5725809574
481	0.5725443616
482	0.5724870956
483	0.5724636887
484	0.5724283743
485	0.5723567431
486	0.5722908329
487	0.5722448783
488	0.572202068
489	0.5721524232
490	0.5720999401
491	0.5720652018
492	0.5720379844
493	0.5719811685
494	0.5719317585
495	0.5718789265
496	0.5718370488
497	0.5718012279
498	0.5717993027
499	0.5717922804
500	0.5717669801
501	0.5717408579
502	0.5717056293
503	0.571656651
504	0.5716313223
505	0.5715918305
506	0.5715528477
507	0.5714902951
508	0.5714455199
509	0.5714069373
510	0.5713782122
511	0.5713298476
512	0.5712782676
513	0.5712361163
514	0.5712087923
515	0.571157768
516	0.5711103788
517	0.5710648659
518	0.5710222829
519	0.5710077772
520	0.5709726499
521	0.5709421155
522	0.5709003146
523	0.5708633807
524	0.5708353059
525	0.5707633044
526	0.5707000451
527	0.57066831
528	0.5706384472
529	0.570615202
530	0.5705947174
531	0.5705547664
532	0.5705239984
533	0.5704862526
534	0.570441935
535	0.5703957272
536	0.5703642269
537	0.5703450994
538	0.570293556
539	0.5702609078
540	0.5702388996
541	0.5701572076
542	0.5701360099
543	0.5700749049
544	0.5700139052
545	0.5699640811
546	0.5699322112
547	0.5698920718
548	0.5698873401
549	0.5698326989
550	0.5697912323
551	0.5697480008
552	0.569699709
553	0.5696371917
554	0.5695957141
555	0.5695670241
556	0.5695409411
557	0.5695041173
