iter	Passed	Remaining
0	73	87364
1	148	88520
2	215	85628
3	284	84810
4	384	91583
5	457	90628
6	552	93756
7	621	92225
8	694	91487
9	764	90552
10	845	90997
11	913	90009
12	1057	96149
13	1152	97233
14	1267	99691
15	1372	101117
16	1474	102177
17	1547	101198
18	1624	100534
19	1699	99855
20	1779	99458
21	1857	99048
22	1940	98903
23	2015	98346
24	2095	98055
25	2157	97024
26	2241	96979
27	2309	96248
28	2388	96051
29	2453	95270
30	2566	96367
31	2633	95701
32	2707	95322
33	2776	94823
34	2846	94346
35	2912	93777
36	3018	94462
37	3104	94517
38	3201	94907
39	3273	94532
40	3374	94993
41	3444	94547
42	3549	95097
43	3624	94815
44	3705	94708
45	3785	94556
46	3859	94258
47	3928	93876
48	4002	93613
49	4073	93289
50	4158	93278
51	4226	92912
52	4298	92630
53	4369	92331
54	4452	92281
55	4520	91950
56	4617	92189
57	4684	91828
58	4770	91861
59	4867	92072
60	4953	92090
61	5036	92043
62	5126	92107
63	5206	92002
64	5281	91808
65	5357	91653
66	5437	91540
67	5516	91424
68	5600	91387
69	5677	91249
70	5757	91142
71	5823	90829
72	5901	90712
73	5975	90526
74	6053	90402
75	6122	90152
76	6206	90110
77	6274	89860
78	6343	89611
79	6412	89378
80	6488	89242
81	6559	89038
82	6637	88925
83	6721	88902
84	6824	89117
85	6902	89006
86	6997	89116
87	7087	89158
88	7198	89452
89	7286	89458
90	7387	89628
91	7474	89610
92	7557	89548
93	7633	89414
94	7717	89359
95	7799	89288
96	7878	89182
97	7955	89047
98	8059	89220
99	8145	89197
100	8252	89384
101	8338	89350
102	8419	89261
103	8494	89115
104	8579	89067
105	8670	89079
106	8794	89420
107	8883	89407
108	8996	89635
109	9090	89669
110	9188	89731
111	9277	89708
112	9368	89701
113	9459	89702
114	9543	89626
115	9623	89512
116	9706	89433
117	9792	89377
118	9905	89566
119	9985	89455
120	10077	89444
121	10164	89398
122	10286	89655
123	10367	89549
124	10466	89590
125	10571	89693
126	10681	89829
127	10724	89399
128	10842	89601
129	10930	89545
130	11045	89711
131	11131	89644
132	11227	89651
133	11312	89574
134	11411	89603
135	11498	89532
136	11594	89541
137	11667	89369
138	11770	89422
139	11857	89351
140	11935	89216
141	12012	89080
142	12126	89210
143	12208	89105
144	12292	89012
145	12373	88900
146	12460	88830
147	12549	88779
148	12643	88762
149	12737	88739
150	12820	88637
151	12890	88454
152	12971	88342
153	13057	88262
154	13149	88226
155	13228	88103
156	13299	87930
157	13372	87765
158	13449	87631
159	13526	87498
160	13634	87564
161	13712	87440
162	13820	87499
163	13893	87345
164	13978	87259
165	14055	87125
166	14160	87164
167	14235	87020
168	14318	86926
169	14396	86800
170	14501	86841
171	14596	86814
172	14694	86809
173	14784	86750
174	14888	86777
175	14968	86665
176	15047	86542
177	15124	86412
178	15208	86320
179	15286	86198
180	15376	86144
181	15450	85994
182	15531	85891
183	15602	85728
184	15692	85673
185	15771	85553
186	15844	85408
187	15918	85263
188	15990	85115
189	16069	84997
190	16167	84985
191	16243	84856
192	16321	84736
193	16401	84627
194	16499	84613
195	16589	84555
196	16679	84496
197	16767	84432
198	16851	84342
199	16933	84244
200	17018	84161
201	17111	84119
202	17188	83997
203	17266	83877
204	17339	83736
205	17417	83619
206	17487	83465
207	17556	83308
208	17654	83287
209	17729	83158
210	17811	83063
211	17880	82910
212	17952	82764
213	18017	82593
214	18096	82486
215	18169	82352
216	18252	82262
217	18321	82110
